title,type,rating,release_year,duration,description
Pray Away,Movie,PG-13,2021,102 min,"Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
Snervous Tyler Oakley,Movie,PG-13,2015,83 min,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
Final Account,Movie,PG-13,2021,94 min,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Blood Brothers: Malcolm X & Muhammad Ali,Movie,PG-13,2021,96 min,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Ai Weiwei: Never Sorry,Movie,R,2012,91 min,Chinese artist and activist Ai Weiwei uses social media and art to inspire protests and suffers government persecution for his actions.
Jimi Hendrix,Movie,R,1973,102 min,"Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage."
Jeremiah Tower: The Last Magnificent,Movie,R,2016,103 min,"This documentary profiles influential chef Jeremiah Tower, who played a pivotal role in the invention of a revolutionary new American cuisine."
Jerry Seinfeld: Comedian,Movie,R,2002,81 min,Christian Charles's documentary follows established comedian Jerry Seinfeld and up-and-comer Orny Adams as they navigate the stand-up circuit.
The B-Side: Elsa Dorfman's Portrait Photography,Movie,R,2016,76 min,"Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike."
Freeway: Crack in the System,Movie,R,2015,103 min,"Take in the true account of drug kingpin ""Freeway"" Rick Ross's empire and how the CIA helped him fuel America's  devastating crack cocaine epidemic."
The Seven Five,Movie,R,2014,104 min,"This riveting film examines the case of Mike Dowd, a corrupt Brooklyn cop who became dirtier than the drug dealers he was supposed to be policing."
Father Soldier Son,Movie,R,2020,100 min,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption."
Born Racer,Movie,R,2018,89 min,"In this all-access pass, IndyCar champion Scott Dixon and his team navigate the risks on the road in the quest to win it all."
De Palma,Movie,R,2015,110 min,"Iconoclastic film director Brian DePalma takes a look back at the production of such classic movies as ""Carrie,"" ""Scarface"" and ""The Untouchables."""
Cutie and the Boxer,Movie,R,2013,82 min,"A 2014 Oscar nominee for Best Documentary Feature, this film explores the symbiotic relationship of artists Ushio and Noriko Shinohara."
Rhyme & Reason,Movie,R,1997,89 min,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
Conor McGregor: Notorious,Movie,R,2017,90 min,"From making ends meet to lavish rides and fur coats, the Irish MMA champion grants an all-access pass to the highs – and lows – of his ascent."
Whose Streets?,Movie,R,2017,102 min,"Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown."
Biggie & Tupac,Movie,R,2002,108 min,"British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process."
Through My Father's Eyes: The Ronda Rousey Story,Movie,R,2019,104 min,This documentary chronicles former Olympian and UFC champion Ronda Rousey's ascent to iconic status in the world of mixed martial arts.
